lon,lat,name,address,pname,cityname,adname,business_area,type,typecode,id,type1,type2,type3,type4
113.55730668248896,22.191064933037634,金悦轩海鲜酒家(渔人码头店),渔人码头新奥尔良I栋,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFG9DS8A,餐饮服务,中餐厅,中餐厅,
113.55189027922788,22.188304881456297,友吉利冰室,澳门皇朝伦敦街42号环宇豪庭地下室,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0I0RX6L4E,餐饮服务,餐饮相关场所,餐饮相关,
113.54978735658577,22.189944645862095,九点海鲜火锅,圣德伦街491号皇朝广场地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFG9BUFP,餐饮服务,中餐厅,中餐厅,
113.55282236352679,22.188218491877592,PaperMoon·Bistro,马济时总督大马路97-103号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFJ0HBP6,餐饮服务,中餐厅,中餐厅,
113.54910767156301,22.19136388315718,馔贵楼特色海鲜火锅,友谊大马路555号新东方置地酒店一楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0J2250PEU,餐饮服务,餐饮相关场所,餐饮相关,
113.54969416054824,22.189604349576566,谭家鱼翅海鲜饭店《皇朝店》,澳门圣德伦街490及494楼获多利大厦,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFHKO8FO,餐饮服务,中餐厅,中餐厅,
113.54951673064657,22.189835101439893,好运来海鲜饭店,圣德偷街483-495号皇朝广场地下及一楼AD AE AF AG铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;海鲜酒楼,050119,B0KGPU6FYM,餐饮服务,中餐厅,海鲜酒楼,
113.54879895563431,22.191135216818907,海王冰室(置地酒店分店),友谊大马路555号澳门置地酒店地下14及15号铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0J09HT0ZN,餐饮服务,餐饮相关场所,餐饮相关,
113.54872570046385,22.192416537512603,金悦轩海鲜酒家(富泽园店),宋玉生广场699-707-A富泽园大厦AR/C,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;火锅店,050117,B073D00ARD,餐饮服务,中餐厅,火锅店,
113.5539443067989,22.196294317262286,食得是福美食(皇家金堡分店),"马六甲街166号,海港街63号国际中心I地下及阁楼CG,CO及CP座",澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFIBHBHZ,餐饮服务,中餐厅,中餐厅,
113.54870967566877,22.192207432101597,三只小猪茶餐厅,北京街富泽园地下G铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;快餐厅;茶餐厅,050305,B0ID7BDBAB,餐饮服务,快餐厅,茶餐厅,
113.54918697707762,22.18949636024348,忠成饺子王(星际店),圣德伦街396-434号获多利大厦地下及一楼B-F座,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIXLKOF,餐饮服务,餐饮相关场所,餐饮相关,
113.54933032701781,22.189299558810323,肥仔文美食(皇朝店),圣德伦街474号获多利大厦地下j铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFKT45FO,餐饮服务,中餐厅,中餐厅,
113.54928019952956,22.18945051911417,澳门彭厨,圣德伦街438号获多利大厦地下G座,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFKDQSVV,餐饮服务,餐饮相关场所,餐饮相关,
